Index,Column 8,Checksum,File Name,Species,Measurable,Not Center Fish,Column 6,Comments/Notes,Fish Angles/Curved Tail
0.00,2,a5dbaee04184b279e21745b917f85786,0_a5dbaee04184b279e21745b917f85786.JPG,Grey Snapper (Lutjanus griseus),TRUE,FALSE,,,
1.00,2,520d35c076e36092c243f5cf6f02a7dc,1_520d35c076e36092c243f5cf6f02a7dc.JPG,Other (Identifiable but Nontarget),TRUE,FALSE,,,
2.00,2,cc97ac368241f5f582541fd29f141a6b,2_cc97ac368241f5f582541fd29f141a6b.JPG,Hogfish (Lachnolaimus maximus),TRUE,FALSE,,I don't think this one should be labeled measurable but worth discussing,Significant Curve
3.00,2,0ea63f5f073b0c6c4749c86ddd666925,3_0ea63f5f073b0c6c4749c86ddd666925.JPG,Stoplight Parrotfish (Sparisoma viride),FALSE,FALSE,,,
4.00,2,f18aebcf2cfe3a390c3407d05085d0de,4_f18aebcf2cfe3a390c3407d05085d0de.JPG,Grey Snapper (Lutjanus griseus),TRUE,FALSE,,,
5.00,2,cf1ea9b270e1c3a0894ab38bae4206b4,5_cf1ea9b270e1c3a0894ab38bae4206b4.JPG,Stoplight Parrotfish (Sparisoma viride),TRUE,FALSE,,,
6.00,2,a6fabc5fe2eed1f750ec52fb843423bc,6_a6fabc5fe2eed1f750ec52fb843423bc.JPG,Hogfish (Lachnolaimus maximus),FALSE,FALSE,,,
7.00,2,618d279fbededff838cf6e1440e20c9a,7_618d279fbededff838cf6e1440e20c9a.JPG,Blue Parrotfish (Scarus coeruleus),TRUE,FALSE,,,
8.00,2,b71e5c5bf44c21ddac76463f13666299,8_b71e5c5bf44c21ddac76463f13666299.JPG,Red Grouper (Epinephelus morio),FALSE,FALSE,,,
9.00,2,4b873bdb53d61b16899370a3385ebafc,9_4b873bdb53d61b16899370a3385ebafc.JPG,Unidentifiable (Cannot see),FALSE,FALSE,,,
10.00,3,de7d9d7460cc5a9de0b94195e93c3ab3,10_de7d9d7460cc5a9de0b94195e93c3ab3.JPG,Red Grouper (Epinephelus morio),TRUE,FALSE,,,
11.00,3,f11a175326e6aab3e7da9a97ac780bca,11_f11a175326e6aab3e7da9a97ac780bca.JPG,Slate,FALSE,FALSE,,,
12.00,3,e5b1560f9bb182608797498de292e3fa,12_e5b1560f9bb182608797498de292e3fa.JPG,Red Grouper (Epinephelus morio),TRUE,FALSE,,,
13.00,3,54864a55cc7b988ff998158913e63fa1,13_54864a55cc7b988ff998158913e63fa1.JPG,Red Grouper (Epinephelus morio),FALSE,FALSE,,,
14.00,3,7ff4f18367ebdf99ad2a29093f037793,14_7ff4f18367ebdf99ad2a29093f037793.JPG,Stoplight Parrotfish (Sparisoma viride),FALSE,FALSE,,,
15.00,3,71c764430cf0585ef70561ffcf27031b,15_71c764430cf0585ef70561ffcf27031b.JPG,Other (Identifiable but Nontarget),TRUE,FALSE,,,
